setting,metric,seed_count,baseline_mean,cockpit_only_mean,paired_mean_difference,paired_ci95_low,paired_ci95_high
restricted,nearby_pair_time_share,20,0.26437293652997623,0.2711735166157549,0.006800580085778647,-0.0016322816980516332,0.015233441869608927
restricted,nearby_pairs_mutually_visible_share,20,0.021277672890262195,0.05330575042913345,0.032028077538871255,0.027402391186999636,0.036653763890742874
restricted,staff_time_any_visible_colleague_share,20,0.044753000709679414,0.13744638834891543,0.09269338763923601,0.08384793194597784,0.10153884333249419
restricted,f2f_per_hour,20,21.565,28.14,6.575,5.190738311841085,7.959261688158915
default,nearby_pair_time_share,20,0.4562093091425221,0.4634792804467895,0.007269971304267331,0.00014363964620691446,0.014396302962327748
default,nearby_pairs_mutually_visible_share,20,0.02030249494957406,0.050502348951288356,0.030199854001714297,0.02736197406089568,0.03303773394253291
default,staff_time_any_visible_colleague_share,20,0.07162825141164492,0.15821685334320712,0.08658860193156222,0.0780758991336279,0.09510130472949653
default,f2f_per_hour,20,22.71,31.9,9.19,8.499339571343393,9.880660428656606
expanded,nearby_pair_time_share,20,0.5941081181153384,0.5936468264988121,-0.0004612916165262604,-0.007025696637282708,0.006103113404230187
expanded,nearby_pairs_mutually_visible_share,20,0.03437233195617938,0.10552086729373655,0.07114853533755718,0.06656245273981556,0.07573461793529879
expanded,staff_time_any_visible_colleague_share,20,0.14780770773550558,0.35309790490295906,0.20529019716745348,0.1911687189966222,0.21941167533828476
expanded,f2f_per_hour,20,22.815,34.72,11.905,10.641370934047456,13.168629065952542
