Prespecified comparison,Shared situations,Estimated contrast (percentage points),95% CI,Expected direction
Team Connector vs Focus Protector on operational coordination,101,+36.6,"[+27.7, +46.5]",Met
Patient Advocate patient-linked differential vs other personas,120,+40.6,"[+29.1, +52.1]",Met
Vigilant Monitor high-vs-low urgency differential vs other personas,120,+47.5,"[+36.6, +58.9]",Met
Focus Protector high-vs-low diversion contrast,120,-25.0,"[-38.1, -12.5]",Met
Adaptive Generalist high-vs-low diversion contrast,120,-50.2,"[-68.6, -30.3]",Met
