Scenario,Contrast,Δ average fit [95% CI],Δ fit floor [95% CI],Δ persona SD [95% CI]
Normal load,COCPIT only − Baseline,"+0.4 [0.2, 0.6]","+0.5 [0.1, 0.9]","-0.15 [-0.36, 0.07]"
Normal load,NURSTA only − Baseline,"+0.1 [-0.2, 0.3]","-0.2 [-0.8, 0.4]","+0.00 [-0.33, 0.32]"
Normal load,Both − Baseline,"+0.3 [0.0, 0.6]","+0.3 [-0.6, 1.2]","-0.12 [-0.54, 0.30]"
High load,COCPIT only − Baseline,"+0.8 [0.4, 1.2]","+1.1 [0.2, 2.0]","-0.28 [-0.55, -0.02]"
High load,NURSTA only − Baseline,"+0.2 [-0.1, 0.5]","+0.5 [-0.3, 1.3]","-0.27 [-0.56, 0.02]"
High load,Both − Baseline,"+0.4 [0.1, 0.7]","+0.5 [-0.3, 1.3]","-0.10 [-0.46, 0.27]"
