run_index,scenario,condition,seed,assignment_round,duration_seconds,warmup_seconds,max_model_decisions,max_model_decisions_per_agent,decision_window_seconds,max_model_decisions_per_window,model_decision_sample_rate,evolving_state_enabled,evolving_state_interval_seconds
301,high_load_high_acuity,baseline,8,3,43200,7200,300,100,7200,100,0.1,True,7200
302,high_load_high_acuity,cockpit_only,8,3,43200,7200,300,100,7200,100,0.1,True,7200
303,high_load_high_acuity,nursta_only,8,3,43200,7200,300,100,7200,100,0.1,True,7200
304,high_load_high_acuity,both,8,3,43200,7200,300,100,7200,100,0.1,True,7200
305,normal_load,baseline,8,4,43200,7200,300,100,7200,100,0.1,True,7200
306,normal_load,cockpit_only,8,4,43200,7200,300,100,7200,100,0.1,True,7200
307,normal_load,nursta_only,8,4,43200,7200,300,100,7200,100,0.1,True,7200
308,normal_load,both,8,4,43200,7200,300,100,7200,100,0.1,True,7200
309,high_load_high_acuity,baseline,8,4,43200,7200,300,100,7200,100,0.1,True,7200
310,high_load_high_acuity,cockpit_only,8,4,43200,7200,300,100,7200,100,0.1,True,7200
311,high_load_high_acuity,nursta_only,8,4,43200,7200,300,100,7200,100,0.1,True,7200
312,high_load_high_acuity,both,8,4,43200,7200,300,100,7200,100,0.1,True,7200
