Scenario,Condition,Coordination cost (m/contact),Separation (m) [95% CI],Segregation [95% CI],Mutual visibility (%),Coordination-nurse share (%),Δ footprint (pp) [95% CI]
Normal load,Baseline,62.3,"9.63 [9.57, 9.69]","0.622 [0.611, 0.633]",1.04,38.6,—
Normal load,COCPIT only,43.5,"8.18 [8.11, 8.24]","0.495 [0.488, 0.502]",2.55,50.5,"-1.5 [-2.0, -1.1]"
Normal load,NURSTA only,59.5,"9.35 [9.30, 9.40]","0.611 [0.602, 0.620]",0.84,38.3,"-0.5 [-1.0, +0.1]"
Normal load,Both,42.8,"8.04 [7.99, 8.10]","0.492 [0.486, 0.499]",2.12,50.7,"-2.0 [-2.4, -1.5]"
High load,Baseline,82.4,"10.20 [10.14, 10.25]","0.708 [0.700, 0.717]",0.72,44.3,—
High load,COCPIT only,55.3,"8.82 [8.76, 8.89]","0.586 [0.580, 0.593]",1.80,57.3,"-1.6 [-2.0, -1.2]"
High load,NURSTA only,80.6,"10.06 [10.01, 10.12]","0.702 [0.694, 0.710]",0.58,43.9,"-0.3 [-0.7, +0.1]"
High load,Both,53.2,"8.72 [8.66, 8.77]","0.573 [0.567, 0.579]",1.43,56.6,"-2.0 [-2.3, -1.6]"
