Scenario,Staff role,Δ movement/person (km/run) [95% CI],Added movement share (%),Δ staff contacts/person-hour [95% CI]
Normal load,Coordination nurse,"+0.64 [+0.61, +0.67]",60.2,"+6.31 [+6.06, +6.56]"
Normal load,Doctor,"+0.04 [+0.03, +0.05]",10.8,"+1.30 [+1.18, +1.43]"
Normal load,Nurse,"+0.06 [+0.05, +0.07]",29.1,"+1.54 [+1.45, +1.64]"
High load,Coordination nurse,"+0.56 [+0.53, +0.60]",72.8,"+5.50 [+5.27, +5.72]"
High load,Doctor,"+0.00 [-0.01, +0.01]",0.6,"+0.91 [+0.81, +1.02]"
High load,Nurse,"+0.04 [+0.03, +0.05]",26.6,"+1.29 [+1.20, +1.39]"
