Scenario,Contrast,Δ F2F/h [95% CI],Δ opportunities [95% CI],Δ staff–staff (pp) [95% CI],Δ patient-facing (pp) [95% CI],Δ corridor (pp) [95% CI]
Normal load,COCPIT only − Baseline,"+9.07 [+8.62, +9.52]","+545.7 [+510.4, +581.0]","+10.5 [+9.8, +11.2]","-12.5 [-13.3, -11.8]","+10.5 [+9.7, +11.3]"
Normal load,NURSTA only − Baseline,"+0.31 [-0.08, +0.71]","+11.6 [-18.8, +41.9]","+0.1 [-0.6, +0.8]","-0.4 [-1.2, +0.4]","+0.1 [-0.7, +0.8]"
Normal load,Both − Baseline,"+9.02 [+8.55, +9.49]","+544.3 [+514.8, +573.8]","+10.3 [+9.5, +11.0]","-12.4 [-13.3, -11.5]","+10.1 [+9.3, +11.0]"
High load,COCPIT only − Baseline,"+7.07 [+6.71, +7.43]","+435.1 [+416.3, +454.0]","+11.9 [+11.1, +12.7]","-13.7 [-14.6, -12.8]","+7.5 [+6.6, +8.4]"
High load,NURSTA only − Baseline,"-0.01 [-0.33, +0.30]","-1.0 [-14.1, +12.2]","-0.3 [-1.2, +0.6]","+0.5 [-0.5, +1.4]","+0.5 [-0.3, +1.3]"
High load,Both − Baseline,"+7.35 [+6.96, +7.73]","+443.7 [+425.4, +461.9]","+12.4 [+11.5, +13.2]","-14.1 [-15.0, -13.2]","+7.8 [+6.9, +8.7]"
