bandwidth_m,observed_median_distance,observed_min_distance,observed_max_distance,abm_matched_median_distance,abm_matched_min_distance,abm_matched_max_distance,median_paired_difference,splits_abm_as_close_or_closer,split_count,global_random_median_distance,zone_random_median_distance
0.5,0.5383758559476994,0.507933381893564,0.5593586880701745,0.5541928537409715,0.5448527392506084,0.5716859091205618,0.020617999378533647,0,10,0.6568357252447989,0.6684032947471181
1.0,0.42571272389480275,0.4041236832076568,0.4554088775119809,0.4252820914543002,0.41682023479549846,0.44893990632907277,0.0012767186469324898,4,10,0.5269701908490682,0.5432265722080144
2.0,0.33513740742613013,0.31268466196086475,0.3757598318413372,0.29829598114038514,0.28346537403912614,0.31512548380867333,-0.039138105482384694,9,10,0.40800935451235015,0.43010640629689695
4.0,0.24934256532759314,0.1830402949004972,0.31478118327794513,0.1910699133978247,0.18052460368382975,0.20495213087226039,-0.06326581901280616,10,10,0.2941495924439395,0.32365761924310443
